num_bits,Original,Linear,Non_Uniform,Original_Size_MB,Linear_Size_MB,Non_Uniform_Size_MB,Original_Time (s),Linear_Time (s),Non_Uniform_Time (s)
2,0.9739,0.6598,0.4021,1.1893,0.4045,0.4045,0.051519,0.043343,0.048597
4,0.9739,0.971,0.9744,1.1893,0.4045,0.4045,0.044754,0.057887,0.045995
8,0.9739,0.9732,0.9734,1.1893,0.4045,0.4045,0.052747,0.045022,0.063848
16,0.9739,0.9736,0.9739,1.1893,0.4045,0.4045,0.044959,0.044896,0.056113
