num_bits,Original,Linear,Non_Uniform,Original_Size_MB,Linear_Size_MB,Non_Uniform_Size_MB,Original_Time (s),Linear_Time (s),Non_Uniform_Time (s)
2,0.6724,0.1,0.1,270.6505,90.5555,90.5555,0.061806,0.061334,0.065794
4,0.6724,0.5758,0.6363,270.6505,90.5555,90.5555,0.074481,0.061416,0.077213
8,0.6724,0.6693,0.6712,270.6505,90.5555,90.5555,0.065523,0.061083,0.067622
